[06-Dec-2012 01:50:13 UTC] PHP Notice:  Undefined index: docIds in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\AjaxListener.php on line 73
[06-Dec-2012 01:50:13 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 75
[06-Dec-2012 01:51:09 UTC] PHP Notice:  Undefined index: docIds in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\AjaxListener.php on line 73
[06-Dec-2012 01:51:09 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 75
[06-Dec-2012 01:51:59 UTC] PHP Notice:  Array to string conversion in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 112
[06-Dec-2012 01:51:59 UTC] PHP Notice:  Array to string conversion in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 112
[06-Dec-2012 01:51:59 UTC] PHP Notice:  Array to string conversion in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 112
[06-Dec-2012 01:51:59 UTC] PHP Notice:  Array to string conversion in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 112
[06-Dec-2012 01:51:59 UTC] PHP Notice:  Array to string conversion in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 112
[06-Dec-2012 01:51:59 UTC] PHP Notice:  Array to string conversion in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 112
[06-Dec-2012 01:52:12 UTC] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 112
[06-Dec-2012 01:54:45 UTC] PHP Notice:  Undefined index: docIds in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\AjaxListener.php on line 73
[06-Dec-2012 01:54:45 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 75
[06-Dec-2012 02:01:02 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 122
[06-Dec-2012 02:01:02 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 130
[06-Dec-2012 02:01:02 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 122
[06-Dec-2012 02:01:02 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 130
[06-Dec-2012 02:01:02 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 122
[06-Dec-2012 02:01:02 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 130
[06-Dec-2012 02:01:44 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 124
[06-Dec-2012 02:01:44 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 132
[06-Dec-2012 02:01:44 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 124
[06-Dec-2012 02:01:44 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 132
[06-Dec-2012 02:01:44 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 124
[06-Dec-2012 02:01:44 UTC] PHP Notice:  Undefined property: stdClass::$kind in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Views\Document.php on line 132
[06-Dec-2012 02:11:26 UTC] PHP Notice:  Undefined index: docIds in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\AjaxListener.php on line 73
[06-Dec-2012 02:11:26 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 75
[06-Dec-2012 02:16:58 UTC] PHP Notice:  Undefined index: galleryId in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\AjaxListener.php on line 100
[06-Dec-2012 02:16:58 UTC] PHP Notice:  Undefined index: mediaIds in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\AjaxListener.php on line 100
[06-Dec-2012 02:16:58 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Document.php on line 70
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Undefined variable: templatefield in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 114
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Undefined variable: templatefield in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 114
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 174
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 175
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 176
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 24
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 25
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 26
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 27
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 28
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 29
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 30
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 31
[06-Dec-2012 02:21:54 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 32
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Undefined index: docIds in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\AjaxListener.php on line 73
[06-Dec-2012 02:22:22 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 75
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 174
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 175
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 176
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 24
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 25
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 26
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 27
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 28
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 29
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 30
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 31
[06-Dec-2012 02:22:22 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 32
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 175
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 176
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 177
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 24
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 25
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 26
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 27
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 28
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 29
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 30
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 31
[06-Dec-2012 02:23:29 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 32
[06-Dec-2012 02:25:18 UTC] PHP Notice:  Undefined index: docIds in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\AjaxListener.php on line 73
[06-Dec-2012 02:25:18 UTC] PHP Warning:  Invalid argument supplied for foreach() in C:\EasyPHP\www\luukkramer.nl\rearend\lib\MYSQL-DAOS\Document.php on line 75
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined index: coverImage in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\AjaxListener.php on line 63
[06-Dec-2012 02:25:52 UTC] PHP Warning:  Missing argument 1 for Models\Document::__construct(), called in C:\EasyPHP\www\luukkramer.nl\rearend\apps\default\Controllers\Document.php on line 87 and defined in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 23
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 24
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 24
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 24
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 25
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 25
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 25
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 26
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 26
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 26
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 27
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 27
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 27
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 28
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 28
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 28
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 29
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 29
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 29
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Undefined variable: docElements in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 30
[06-Dec-2012 02:25:52 UTC] PHP Notice:  Trying to get property of non-object in C:\EasyPHP\www\luukkramer.nl\rearend\lib\Models\Document.php on line 30
